Name,Reference (s),Full Address,Address,City,State,Country,ZIP,Current Status,Converted into?,Creation,Closure,Reason for closure,Owner,Films screened,Website,Notes
Gem,FDYB1950,"604 Martin Luther King Jr. Avenue, Vidalia, Georgia, United States, 30474",604 Martin Luther King Jr. Avenue,Vidalia,Georgia,United States,30474,,,1949,1955,,Pal Amusument Co.,,https://cinematreasures.org/theaters/41895,
Carolina (Port.),FDYB1950,"/, Warwick, Georgia, United States, ",/,Warwick,Georgia,United States,,,,,,,,,,
Dreamland,FDYB1926 -,"/, Washington, Georgia, United States, ",/,Washington,Georgia,United States,,,,,,,,,,
Carver,FDYB1950,"656 Oak Street, Waycross, Georgia, United States, 31501",656 Oak Street,Waycross,Georgia,United States,31501,,,1948,,,,,https://cinematreasures.org/theaters/13993,closed in the 1970s
Magnolia,FDYB1950,"/, Waynesboro, Georgia, United States, ",/,Waynesboro,Georgia,United States,,,,,,,,,,
Strand,FDYB1931 - 1932,"/, West Point, Georgia, United States, ",/,West Point,Georgia,United States,,,,,,,,,,
Tenth Street,FDYB1950,"/, West Point, Georgia, United States, ",/,West Point,Georgia,United States,,,,,,,,,,
Lincoln,FDYB1950,"217-219 8th Street, Cairo, Illinois, United States, 62914",217-219 8th Street,Cairo,Illinois,United States,62914,Demolished,Rubble,1917,Later 1960s,,,,,"Opened as Kimmel Theatre, renamed Jackson Theatre in 1932, renamed Rodgers Theatre in 1936, Cairo's Elks club closed around 2013. Demolished in 2023"
Standard,FDYB1931 - 1932,"1215 Commercial Avenue, Cairo, Illinois, United States, 62914",1215 Commercial Avenue,Cairo,Illinois,United States,62914,Demolished,Housing and restaurant,1925,1931,,,,,
Amo,FDYB1950,"436 E. 61st Street, Chicago, Illinois, United States, 60367",436 E. 61st Street,Chicago,Illinois,United States,60367,Demolished,Vacant lot,"June 17, 1916",1956,,,,,"Opene as Vernon Theater, renamed Eden Theater in 1930, renamed Amo Theater 1931, renamed 61st Street Theatre at the time of closing. Used as a church after closing until 2000."
Apollo,FDYB1931 - FDYB1950,"526 E. 47th Street, Chicago, Illinois, United States, 60653",526 E. 47th Street,Chicago,Illinois,United States,60653,Demolished,"Replaced by Grehouns bus terminal in 1953, later demolished and replaced by Chicago Title & Trust Building in 1992",1873,May 1949,,,,,Opened as New Chicago Theatre. 
Atlas,FDYB1931 - 1932,"4715 S. State Street, Chicago, Illinois, United States, 60609",4715 S. State Street,Chicago,Illinois,United States,60609,Converted,"Retail use, later nightclub",1914,1940s,,,,,Only front of the building survives
Broadway Strand,FDYB1950,"1641 W. Roosevelt Road, Chicago, Illinois, United States, 60608",1641 W. Roosevelt Road,Chicago,Illinois,United States,60608,,,,,,,,,
Cort,FDYB1950,"5352 S. Wentworth Avenue, Chicago, Illinois, United States, 60609",5352 S. Wentworth Avenue,Chicago,Illinois,United States,60609,,,,,,,,,
Four Star,FDYB1950,"2418 W. Madison Street, Chicago, Illinois, United States, 60612",2418 W. Madison Street,Chicago,Illinois,United States,60612,,,,,,,,,
Grand,FDYB1950,"3110 S. State Street, Chicago, Illinois, United States, 60616",3110 S. State Street,Chicago,Illinois,United States,60616,,,,,,,,,
Groveland,FDYB1931 - 1932,"3125 S. Cottage Grove Avenue, Chicago, Illinois, United States, 60616",3125 S. Cottage Grove Avenue,Chicago,Illinois,United States,60616,,,,,,,,,
Harmony,FDYB1931 - ,"2639 W. Division Street, Chicago, Illinois, United States, 60622",2639 W. Division Street,Chicago,Illinois,United States,60622,,,,,,,,,
Indiana,FDYB1931 - FDYB1950,"3548 Michigan Avenue, Chicago, Illinois, United States, 46312",3548 Michigan Avenue,Chicago,Illinois,United States,46312,,,,,,,,,
Irving,FDYB1950,"1310 S. Halsted Street, Chicago, Illinois, United States, 60661",1310 S. Halsted Street,Chicago,Illinois,United States,60661,,,,,,,,,
Joy,FDYB1950,"1611 W. Roosevelt Road, Chicago, Illinois, United States, 60608",1611 W. Roosevelt Road,Chicago,Illinois,United States,60608,,,,,,,,,
Lincoln,FDYB1931 -,"3134 S. State Street, Chicago, Illinois, United States, 60616",3134 S. State Street,Chicago,Illinois,United States,60616,,,,,,,,,
Louis,FDYB1950,"108 E. 35th Street, Chicago, Illinois, United States, 60616",108 E. 35th Street,Chicago,Illinois,United States,60616,,,,,,,,,
Lyceum,FDYB1931 - 1932,"3851 S. Cottage Grove Avenue, Chicago, Illinois, United States, 60653",3851 S. Cottage Grove Avenue,Chicago,Illinois,United States,60653,,,,,,,,,
Lynn,FDYB1950,"1044 West 63rd Street, Chicago, Illinois, United States, 60621",1044 West 63rd Street,Chicago,Illinois,United States,60621,,,,,,,,,
Madlin,FDYB1950,"1910 W. Madison Street, Chicago, Illinois, United States, 60612",1910 W. Madison Street,Chicago,Illinois,United States,60612,,,,,,,,,
Metropolitan,FDYB1931 - FDYB1950,"4644 S. Dr. Martin Luther King, Chicago, Illinois, United States, 60653",4644 S. Dr. Martin Luther King,Chicago,Illinois,United States,60653,,,,,,,,,
Michigan,FDYB1950,"110 E. Garfield Boulevard, Chicago, Illinois, United States, 60615",110 E. Garfield Boulevard,Chicago,Illinois,United States,60615,,,,,,,,,
Midway,FDYB1950,"6250 S. Cottage Grove Avenue, Chicago, Illinois, United States, 60637",6250 S. Cottage Grove Avenue,Chicago,Illinois,United States,60637,,,,,,,,,
Monogram,FDYB1931 - 1932,"3451 S. State Street (multiple possible addresses), Chicago, Illinois, United States, 60616",3451 S. State Street (multiple possible addresses),Chicago,Illinois,United States,60616,,,,,,,,,
N.R.A.,FDYB1950,"5744 S. Prairie Avenue, Chicago, Illinois, United States, 60637",5744 S. Prairie Avenue,Chicago,Illinois,United States,60637,,,,,,,,,
Oakland Square,FDYB1950,"3947 S. Drexel Boulevard, Chicago, Illinois, United States, 60653",3947 S. Drexel Boulevard,Chicago,Illinois,United States,60653,,,,,,,,,
Owl,FDYB1931 - FDYB1950,"4653 S. State Street, Chicago, Illinois, United States, 60609",4653 S. State Street,Chicago,Illinois,United States,60609,,,,,,,,,
Park,FDYB1950,"3955 S. Martin Luther King Jr. Drive, Chicago, Illinois, United States, 60653",3955 S. Martin Luther King Jr. Drive,Chicago,Illinois,United States,60653,,,,,,,,,
Peerless,FDYB1931 -,"3955 S. Martin Luther King Jr. Drive, Chicago, Illinois, United States, 60653",3955 S. Martin Luther King Jr. Drive,Chicago,Illinois,United States,60653,,,,,,,,,
Pickford,FDYB1931 - 1932,"108 E. 35th Street, Chicago, Illinois, United States, 60616",108 E. 35th Street,Chicago,Illinois,United States,60616,,,,,,,,,
Public,FDYB1950,"4712 S. Prairie Avenue, Chicago, Illinois, United States, 60615",4712 S. Prairie Avenue,Chicago,Illinois,United States,60615,,,,,,,,,
Regal,FDYB1931 - FDYB1950,"4719 S. Dr. Martin Luther King Jr. Drive, Chicago, Illinois, United States, 60615",4719 S. Dr. Martin Luther King Jr. Drive,Chicago,Illinois,United States,60615,,,,,,,,,
Star,FDYB1950,"8402 S. Burley Avenue (multiple addresses), Chicago, Illinois, United States, 60617",8402 S. Burley Avenue (multiple addresses),Chicago,Illinois,United States,60617,,,,,,,,,
States,FDYB1931 - FDYB1950,"5814 W. Madison Street, Chicago, Illinois, United States, 60644",5814 W. Madison Street,Chicago,Illinois,United States,60644,,,,,,,,,
Terrace,FDYB1950,"3110 S. Indiana Avenue, Chicago, Illinois, United States, 60616",3110 S. Indiana Avenue,Chicago,Illinois,United States,60616,,,,,,,,,
Victory,FDYB1950,"824 E. 47th Street, Chicago, Illinois, United States, 60653",824 E. 47th Street,Chicago,Illinois,United States,60653,,,,,,,,,
Virginia,FDYB1950,"208-210 E. 43rd Street, Chicago, Illinois, United States, 60653",208-210 E. 43rd Street,Chicago,Illinois,United States,60653,,,,,,,,,
Western Vendome,FDYB1931 -,"3145 South State Street, Chicago, Illinois, United States, 60616",3145 South State Street,Chicago,Illinois,United States,60616,,,,,,,,,
Willard,FDYB1950,"340 E. 51st Street, Chicago, Illinois, United States, 60615",340 E. 51st Street,Chicago,Illinois,United States,60615,,,,,,,,,
Plaza,FDYB1931 - 1932,"/, Colp, Illinois, United States, ",/,Colp,Illinois,United States,,,,,,,,,,
American,FDYB1931 - 1945,"1026 Mississippi Avenue, East St. Louis, Illinois, United States, 62201",1026 Mississippi Avenue,East St. Louis,Illinois,United States,62201,Demolished,Nothing,1928,1936,,,,,
De Luxe,FDYB1950,"1500 Walnut Avenue, East St. Louis, Illinois, United States, 62207",1500 Walnut Avenue,East St. Louis,Illinois,United States,62207,Demolished,Power station,Before or on 1940,On or after 1955,,,,,
Dolora,FDYB1950,"/, East St. Louis, Illinois, United States, ",/,East St. Louis,Illinois,United States,,,,,,,,,,
Harlem [Olympia],FDYB1950,"11 South Main Street, East St. Louis, Illinois, United States, 62201",11 South Main Street,East St. Louis,Illinois,United States,62201,Demolished,Gas station,Before on on 1930,On or after 1955,,,,,Originally called Olympia Theatre from 1930-1933 FDYB. FDYB 1949-1955 is named as Harlem Theatre. Both served Black communities
Little Broadway,FDYB1931 - FDYB1950,"1312 E. Broadway, East St. Louis, Illinois, United States, 62201",1312 E. Broadway,East St. Louis,Illinois,United States,62201,Demolished,Nothing,Before or on 1930,On or after 1955,,,,,"There is a theater called Brodway Theater that is also a Black theater, located on 1320 E. Broadway. Unknown if it is the same theater. Listed on FYB 1940-1949. Currently a vacant lot."
Pekin,FDYB1931 - 1932,"813 E. Washington Street, Springfield, Illinois, United States, ",813 E. Washington Street,Springfield,Illinois,United States,,Demolished,Horace Mann Companies office building,1916,On or after 1932,,,,,
Rock Island,FDYB1950,"Broadway, Venice, Illinois, United States, 62090",Broadway,Venice,Illinois,United States,62090,,,1948,On or after 1955,,,,,
Mars,FDYB1950,"4824 Alexander Avenue, East Chicago, Indiana, United States, 46312",4824 Alexander Avenue,East Chicago,Indiana,United States,46312,Demolished,Empty lot,March 1926,May 1951,,,,"https://cinematreasures.org/theaters/22201
https://drypigment.net/2020/07/29/tales-from-a-scenic-artist-and-scholar-part-1052-the-rock-island-theatre-1920/","The Twin City Theatre opened in March 1926. It was closed in February 1934. It reopened in September 1934 as the Midtown Theatre. From March 1936 to November 1946 it operated as the Midway Theatre. Following a month closed while it was refurbished it reopened on December 10, 1946 as the Mars Theatre."
Broadway,FDYB1931 -,"/, Gary, Indiana, United States, ",/,Gary,Indiana,United States,,,,,,,,,,multiple Broadway Theatres in Gary - unclear which is the Black theater
Roosevelt,FDYB1950,"1446 Broadway, Gary, Indiana, United States, 46408",1446 Broadway,Gary,Indiana,United States,46408,Demolished,,1927,,,,,https://cinematreasures.org/theaters/21216,
Strand ,FDYB1931 -,"1631 Broadway, Gary, Indiana, United States, 46407",1631 Broadway,Gary,Indiana,United States,46407,Demolished,,,,,,,https://cinematreasures.org/theaters/68202,Opened as the Royal Theatre in 1915
Broadway,FDYB1950,"/, Indiana Harbor, Indiana, United States, ",/,Indiana Harbor,Indiana,United States,,,,,,,,,,no record found online
Garden,FDYB1950,"3424 Main Street, Indiana Harbor, Indiana, United States, 46312",3424 Main Street,Indiana Harbor,Indiana,United States,46312,,,,,,,,https://cinematreasures.org/theaters/730,
Avenue,FDYB1950,"412 Indiana Avenue, Indianapolis, Indiana, United States, 46204",412 Indiana Avenue,Indianapolis,Indiana,United States,46204,,,,,,,,https://cinematreasures.org/theaters/71345,
Capitol,FDYB1931 - 1932,"148 W. Washington Street, Indianapolis, Indiana, United States, 46204",148 W. Washington Street,Indianapolis,Indiana,United States,46204,,,,,,,,https://cinematreasures.org/theaters/20283,
Columbia,FDYB1931 - 1932,"524 Indiana Avenue, Indianapolis, Indiana, United States, 46202",524 Indiana Avenue,Indianapolis,Indiana,United States,46202,Demolished,,"May 14, 1910",,,Hill Brothers,,https://cinematreasures.org/theaters/71340,James D. Hill and Louis G Hill operated multiple silent African American theaters as the Hill Brothers. The Columbia Theater was credited for being the first movie house to play movies with African-American casts.
Douglas,FDYB1931 - FDYB1950,"1403 E. 19th Street, Indianapolis, Indiana, United States, 46218",1403 E. 19th Street,Indianapolis,Indiana,United States,46218,Demolished,Once converted into a church,1911,1956,,,,https://cinematreasures.org/theaters/16027,"Opened as the Atlas, renamed to the Douglas in 1922"
Emroe,FDYB1931 - 1932,"/, Indianapolis, Indiana, United States, ",/,Indianapolis,Indiana,United States,,,,,,,,,,No record found online - Emerson Theatre exists and is still in operation 
English,FDYB1931 - 1932,"124 Monument Circle, Indianapolis, Indiana, United States, 46204",124 Monument Circle,Indianapolis,Indiana,United States,46204,,,,,,,,https://cinematreasures.org/theaters/45582,Opened as English Opera House in 1880
Gem,FDYB1931 - 1932,"225 W. Washington Street, Indianapolis, Indiana, United States, 46204",225 W. Washington Street,Indianapolis,Indiana,United States,46204,Demolished,,1908,1942,,,,https://beekman.herokuapp.com/theaters/16031,
Hortense,FDYB1931 - 1932,"513 Indiana Avenue, Indianapolis, Indiana, United States, 46202",513 Indiana Avenue,Indianapolis,Indiana,United States,46202,Demolished,,1916,1930,,,,https://cinematreasures.org/theaters/16035,"Opened as the Pioneer Theater in 1916, became the Hortense Theater in 1922 and finally the Famous Theater in 1927. The Famous closed a short time later in 1930. "
Indiana,FDYB1931 - FDYB1950,"326 Indiana Avenue, Indianapolis, Indiana, United States, 46204",326 Indiana Avenue,Indianapolis,Indiana,United States,46204,,,,,,,,https://cinematreasures.org/theaters/71347,** also formerly called the walker theater?
Jewell,FDYB1932,"/, Indianapolis, Indiana, United States, ",/,Indianapolis,Indiana,United States,,,,,,,,,,No Jewel in Indianapolis - one in Jamestown?
Lido,FDYB1950,", Indianapolis, Indiana, United States, ",,Indianapolis,Indiana,United States,,Demolished,,,,,,,,
Northwestern,FDYB1932 -,"2648 Northwestern Avenue, Indianapolis, Indiana, United States, 46208",2648 Northwestern Avenue,Indianapolis,Indiana,United States,46208,Demolished,,,1935,,,,https://cinematreasures.org/theaters/16028,
Park,FDYB1950,"2441 Dr. Andrew J. Brown Avenue, Indianapolis, Indiana, United States, 46205",2441 Dr. Andrew J. Brown Avenue,Indianapolis,Indiana,United States,46205,Demolished,Building used as a funeral parlor and a church,1938,1958,,,,https://cinematreasures.org/theaters/30891,
Regal,FDYB1950,"/, Indianapolis, Indiana, United States, ",/,Indianapolis,Indiana,United States,,,,,,,,,,no record found online
Senate,FDYB1932 -,"1319 N. Senate Avenue, Indianapolis, Indiana, United States, 46202",1319 N. Senate Avenue,Indianapolis,Indiana,United States,46202,Demolished,,1910,1920,,Hill Brothers,,https://cinematreasures.org/theaters/16047,
Two Johns [renamed Lido],FDYB1932 - FDYB1950,"784 Indiana Avenue, Indianapolis, Indiana, United States, 46202",784 Indiana Avenue,Indianapolis,Indiana,United States,46202,Demolished,,,,,JB Doolittle; then John Hubert and John Victor,,https://cinematreasures.org/theaters/71337,"Previously Little Doo Theatre, Two Johns Theater. first Indianapolis African American movie theater"
Walker,FDYB1932 - FDYB1951,"617 Indiana Avenue, Indianapolis, Indiana, United States, 46202",617 Indiana Avenue,Indianapolis,Indiana,United States,46202,Still Standing,,"December 26, 1927",,,,,https://cinematreasures.org/theaters/918,"Part of Madam Walker Legacy Center. 1,200-seat Walker Theatre was conceived by Madam C. J. Walker, America’s first black millionairess, after she was charged a higher price to attend another downtown theatre because of her race. ** could also be the former name of the Indiana theater?"
Princess,FDYB1931 - FDYB1950,"1910 North 3rd Street (original), 1918 N. 5th Street, Kansas City, Kansas, United States, 66101","1910 North 3rd Street (original), 1918 N. 5th Street",Kansas City,Kansas,United States,66101,Converted,"Club Hawaiian Garden nightclub, later demolished, currently nothing",1917,"October 19, 1936",Move theatre to a larger location nearby,,,"https://cinematreasures.org/theaters/66511 , https://cinematreasures.org/theaters/66512","Changed locations; New Princess Theater two blocks from original. Legendary African-American projectionist John Henry Adams, Jr. who had been trained by his father and was a part of the Local 170-A Union, spent some 20 years of his 50 years of projectionist for the New Princess Theatre and the Regal Theatre. "
Regal,FDYB1950,"1612-1614 N. 10th Street, Kansas City, Kansas, United States, 66102",1612-1614 N. 10th Street,Kansas City,Kansas,United States,66102,Demolished,"Meeting hall, later demolished, currently a church / parking lot","March 3, 1917","January 23, 1954",Building fire,,,https://cinematreasures.org/theaters/66510,"Underwent numerous name/ownership changes, rebuilt by United Theater Enterprises in 1933 and called the Regal."
